year,energy_twh,h7_energy_component
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,43360.309,0.0
1966,45732.449,0.019712916433635295
1967,47410.555,0.03365828363151653
1968,50246.746,0.05722754858755981
1969,53700.402,0.08592806041170307
1970,57177.613,0.11482431858580636
1971,59438.562,0.13361321751154906
1972,62703.992,0.1607495369150774
1973,66337.648,0.19094588159818107
1974,66696.508,0.19392807370799517
1975,67157.297,0.1977573144149258
1976,70744.766,0.22756983669660275
1977,73306.172,0.24885558814070474
1978,76179.039,0.2727296373519438
1979,78698.641,0.2936679899247347
1980,78010.562,0.2879499278260646
1981,77654.789,0.2849933892497817
1982,77277.594,0.28185882994291733
1983,78599.125,0.2928409937981108
1984,82129.477,0.32217886338309193
1985,84332.883,0.3404895694743727
1986,86200.781,0.3560121428387418
1987,89321.43,0.3819453057025303
1988,92666.555,0.4097439051043634
1989,94454.031,0.4245981569677142
1990,95856.289,0.4362511769296037
1991,96516.406,0.4417368697038168
1992,97104.883,0.4466272210001638
1993,97894.812,0.45319167519152903
1994,99137.25,0.46351656177831263
1995,101315.359,0.4816170451816315
1996,104245.836,0.5059698440095634
1997,105269.266,0.5144747341364848
1998,105852.398,0.5193206675071032
1999,107613.984,0.53395976874424
2000,110416.398,0.5572483406642995
2001,111493.289,0.5661975014605147
2002,113894.43,0.5861514214982759
2003,117849.602,0.6190196228340549
2004,123841.742,0.668815400097894
2005,127936.719,0.7028454065050448
2006,131481.203,0.7323007155898195
2007,135617.984,0.7666781208682811
2008,137229.406,0.7800693318530127
2009,135033.219,0.7618186169695591
2010,141602.047,0.8164067767876656
2011,144913.297,0.8439238687556249
2012,147002.422,0.8612848788749342
2013,149599.734,0.8828690157336686
2014,151239.172,0.8964930447927149
2015,152357.625,0.9057875933960642
2016,154221.484,0.9212766019331147
2017,157625.312,0.9495630339811675
2018,161806.125,0.9843063532176611
2019,163694.609,1.0
2020,157993.891,0.9526259927551829
