year,patent_count,h7_tech_component
1840,735,0.0
1841,847,0.00018043620452443782
1842,761,4.188697605031593e-05
1843,819,0.00013532715339332837
1844,1045,0.0004994216375229976
1845,1246,0.0008232401831427476
1846,1272,0.0008651271591930635
1847,1531,0.001282385882155826
1848,1628,0.0014386565235743123
1849,1955,0.0019654657992840547
1850,2193,0.0023488927338984854
1851,2258,0.002453610174024275
1852,2639,0.003067415476915443
1853,2673,0.0031221907532889333
1854,3328,0.0041774203422488155
1855,4435,0.005960838899468035
1856,4960,0.006806633608176338
1857,4771,0.006502147513041349
1858,5364,0.007457492774496631
1859,6225,0.008844596096778247
1860,7653,0.01114515770446483
1861,4643,0.006295934707870563
1862,5038,0.006932294536327286
1863,6014,0.00850466717575453
1864,6932,0.00998359963783876
1865,10664,0.01599599173859949
1866,15269,0.023414819612126603
1867,21276,0.03309232211728998
1868,20420,0.031713273982710344
1869,19271,0.02986219184879446
1870,19171,0.029701088094754784
1871,19472,0.030186010394414212
1872,18246,0.028210878369887775
1873,20414,0.031703607757467965
1874,21602,0.03361752035545932
1875,21638,0.033675517706913606
1876,21425,0.033332366710809094
1877,20308,0.031532837778185906
1878,20260,0.03145550797624686
1879,20059,0.03113168943062711
1880,21761,0.03387367532438241
1881,24878,0.03889527933779913
1882,30270,0.047581993755618494
1883,33073,0.05209773198135063
1884,34192,0.05390048298905461
1885,34697,0.05471405694695498
1886,35161,0.05546157836569908
1887,34420,0.05426779954826507
1888,34713,0.05473983354760133
1889,39607,0.0626242512703031
1890,39884,0.06307050866899301
1891,39418,0.06231976517516811
1892,39514,0.0624744247790462
1893,37293,0.05889631040182498
1894,36987,0.05840333291446357
1895,39145,0.061879951926639795
1896,42077,0.06660351399508312
1897,45661,0.07237747253986512
1898,33915,0.05345422559036471
1899,38937,0.06154485611823727
1900,39673,0.06273057974796929
1901,43973,0.06965804117167539
1902,48320,0.07666122135978012
1903,49289,0.07822231673642459
1904,51168,0.08124945627483011
1905,54034,0.08586668986560725
1906,55471,0.08818175081115741
1907,57679,0.09173892170035346
1908,60142,0.0957069071623507
1909,64408,0.1025795933096833
1910,63293,0.10078328645214091
1911,67370,0.10735148650433853
1912,68969,0.10992753553143296
1913,68117,0.10855493154701491
1914,67774,0.10800234567065882
1915,67138,0.10697772579496648
1916,68075,0.10848726797031824
1917,67590,0.10770591476322582
1918,57347,0.09120405723694174
1919,76710,0.12239857713164431
1920,81915,0.13078402752940949
1921,87467,0.13972850795369235
1922,83962,0.13408182137460167
1923,76783,0.12251618287209329
1924,76987,0.12284483453033422
1925,80208,0.12803398644795222
1926,81365,0.12989795688219127
1927,87219,0.13932897064367394
1928,87603,0.1399476090591863
1929,89752,0.14340972873349894
1930,89554,0.1430907433005004
1931,79740,0.12728002087904652
1932,67006,0.1067650688396341
1933,56558,0.08993294861756869
1934,56643,0.0900698868085024
1935,58117,0.09244455614304725
1936,62599,0.09966522639910555
1937,65324,0.10405530369668674
1938,66874,0.10655241188430173
1939,64093,0.10207211648445833
1940,60863,0.09686846522897677
1941,52339,0.08313598123463473
1942,45549,0.07219703633534069
1943,45493,0.07210681823307846
1944,54190,0.08611801172190914
1945,67846,0.10811834037356738
1946,81056,0.12940014628220867
1947,75443,0.12035739256796162
1948,68740,0.1095586079346821
1949,67592,0.1077091368383066
1950,67264,0.10718071652505647
1951,60438,0.09618377427430815
1952,64554,0.10281480479058124
1953,72284,0.11526812497784823
1954,77185,0.12316381996333278
1955,77188,0.12316865307595398
1956,74906,0.11949226540876856
1957,74197,0.11835003979262725
1958,77495,0.12366324160085579
1959,78594,0.12543377185775184
1960,79590,0.127038365247987
1961,83100,0.13269310701477965
1962,85029,0.135800798430205
1963,85869,0.13715406996413831
1964,87592,0.13992988764624192
1965,94629,0.151266758818014
1966,88525,0.14143298567143212
1967,85697,0.13687697150719005
1968,93471,0.1494011773462345
1969,98750,0.15790584452198905
1970,103175,0.16503468563824475
1971,104729,0.16753823797602133
1972,99298,0.1587886930941265
1973,104079,0.16649106357476343
1974,102538,0.164008454725012
1975,101014,0.16155323351344733
1976,102344,0.16369591344217502
1977,100931,0.1614195173975944
1978,100916,0.16139535183448844
1979,100494,0.160715493992441
1980,104329,0.1668938229598626
1981,106413,0.17025122519404948
1982,109625,0.1754258777738039
1983,103703,0.16588531345957425
1984,111284,0.17809858905332213
1985,117006,0.18731694585947242
1986,122433,0.19606004659120566
1987,127917,0.20489497646274155
1988,139825,0.22407921149378623
1989,152750,0.24490187170341443
1990,164558,0.26392500298041943
1991,164306,0.2635190215202395
1992,173075,0.27764620971197873
1993,174743,0.28033342032936054
1994,189857,0.30468264171491727
1995,212377,0.34096320712465245
1996,195187,0.313269471805232
1997,215257,0.3456029952409951
1998,243062,0.3903978940517272
1999,270187,0.4340972873349895
2000,295926,0.47556378258726184
2001,326508,0.5248325326476757
2002,334445,0.5376193376058049
2003,342441,0.5505011937788175
2004,356943,0.5738644601896513
2005,390733,0.628301418679658
2006,425967,0.6850647153779977
2007,456154,0.7336971056099549
2008,456321,0.7339661488792012
2009,456106,0.7336197758080159
2010,490226,0.7885883766863535
2011,503582,0.8101053940758928
2012,542815,0.8733112298982791
2013,571612,0.9197042779490847
2014,578802,0.9312876378645375
2015,589410,0.9483775240930664
2016,605571,0.9744135017834186
2017,606956,0.9766447887768681
2018,597141,0.9608324553178739
2019,621453,1.0
2020,597175,0.9608872305942473
